date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-06-25	25.0100	24.3900		1047500	24.5157	24.5157	True
2026-06-26	23.7900	26.2600	7.6671	1601500	25.6224	25.0481	True
2026-06-29	27.0000	24.1100	-8.1874	1444900	25.2153	25.1096	True
2026-06-30	24.0000	24.6200	2.1153	1211100	24.6733	25.0038	True
2026-07-01	25.1400	24.5900	-0.1219	1140000	25.3710	25.0760	True
2026-07-02	24.8900	24.9000	1.2607	1233200	25.5511	25.1607	True
2026-07-06	25.0100	23.5700	-5.3414	848300	23.8234	25.0130	True
2026-07-07	23.1500	22.9200	-2.7577	693000	22.7370	24.8246	True
2026-07-08	22.2000	21.0000	-8.3770	1287700	21.5933	24.3843	True
2026-07-09	21.2100	21.1700	0.8095	558220	20.7075	24.1621	True
