date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-07-20	18.2500	17.4200		922200	17.4284	17.4284	True
2026-07-21	17.2200	17.9800	3.2147	1018500	17.9645	17.7117	True
2026-07-22	18.1100	17.7200	-1.4461	1240700	17.9511	17.7849	True
2026-07-23	17.4700	17.6200	-0.5643	850900	17.7067	17.7684	True
2026-07-24	17.9600	17.0600	-3.1782	707300	16.8718	17.6252	True
2026-07-27	17.3300	18.8700	10.6096	791700	18.3962	17.7432	True
2026-07-28	18.2900	17.8100	-5.6174	2067500	17.7355	17.7409	True
2026-07-29	17.3700	15.0200	-15.6654	4322100	15.6065	16.8983	True
2026-07-30	15.0400	15.2600	1.5979	2104200	15.0967	16.6091	True
2026-07-31	15.4100	14.7500	-3.3421	1253902	14.9601	16.4598	True
