date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-07-22	18.1100	17.7200		1240700	17.9511	17.9511	True
2026-07-23	17.4700	17.6200	-0.5643	850900	17.7067	17.8369	True
2026-07-24	17.9600	17.0600	-3.1782	707300	16.8711	17.5504	True
2026-07-27	17.3300	18.8700	10.6096	791700	18.3962	17.7623	True
2026-07-28	18.2900	17.8100	-5.6174	2067500	17.7355	17.7513	True
2026-07-29	17.3700	15.0200	-15.6654	4322100	15.6065	16.7363	True
2026-07-30	15.0400	15.2600	1.5979	2104200	15.0967	16.4305	True
2026-07-31	15.4100	14.7300	-3.4731	1373000	14.9601	16.2781	True
2026-08-03	14.6600	14.2800	-3.0550	1913700	14.4261	16.0419	True
2026-08-04	14.9700	15.9250	11.5196	2318347	15.2985	15.9354	True
