date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-08-14	10.0600	10.9300		6604400	10.3926	10.3926	True
2026-08-17	10.3600	10.6600	-2.4703	4389800	11.1291	10.8493	True
2026-08-18	10.2400	10.4200	-2.2514	5034900	10.1766	10.5995	True
2026-08-19	10.3200	10.1800	-2.3033	3781000	10.0675	10.4673	True
2026-08-20	9.9900	9.2000	-9.6267	5467800	9.1465	10.0854	True
2026-08-21	9.2600	9.3200	1.3043	2434000	9.4848	10.0330	True
2026-08-24	9.2200	9.7600	4.7210	3257000	9.5546	10.0081	True
2026-08-25	10.0000	9.3200	-4.5082	2948300	9.2799	9.8802	True
2026-08-26	9.2000	9.1300	-2.0386	1967800	9.2810	9.8459	True
2026-08-27	9.2700	9.2000	0.7667	4241432	9.2186	9.8122	True
