date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-05-15	27.0700	24.0200		4617200	24.1601	24.1601	True
2026-05-18	25.2600	25.9300	7.9517	2289500	25.6321	25.0567	True
2026-05-19	25.9200	25.6800	-0.9641	1215100	25.2412	25.0723	True
2026-05-20	25.6500	25.8500	0.6620	1123600	25.8512	25.1252	True
2026-05-21	25.7500	28.4500	10.0580	1585700	27.6450	25.3760	True
2026-05-22	28.5600	29.0300	2.0387	1372800	28.7852	25.6437	True
2026-05-26	31.6200	33.1800	14.2956	3174400	33.7011	26.9011	True
2026-05-27	34.7400	35.1100	5.8168	1973700	35.1914	27.6123	True
2026-05-28	35.0000	31.9900	-8.8864	2689200	32.8109	28.1780	True
2026-05-29	31.5700	32.5600	1.7818	2171182	30.4965	28.3720	True
