date	open	close	pct_change	volume	daily_vwap	high_fidelity
2026-04-09	27.9000	36.0200		5532166	33.4343	False
2026-04-10	36.0500	33.3400	-7.4403	3161509	33.1130	True
2026-04-13	33.4200	33.8150	1.4247	3295061	34.7311	True
2026-04-14	33.4300	34.4200	1.7891	2499245	33.9250	True
2026-04-15	34.8300	39.6600	15.2237	3771019	37.3284	True
2026-04-16	39.4950	38.2100	-3.6561	3058372	36.9090	True
2026-04-17	38.5100	35.6200	-6.7783	2025004	36.2372	True
2026-04-20	35.6900	38.3900	7.7765	1482000	37.3355	True
2026-04-21	39.2800	41.2700	7.5020	3456130	41.9761	True
2026-04-22	42.2900	41.5900	0.7754	1029334	41.6736	True
